Unnamed: 0,disease,symptoms
0,(Vertigo) Paroymsal  Positional Vertigo,"headache, loss_of_balance, nausea, spinning_movements, unsteadiness, vomiting"
1,AIDS,"abdominal cramps, anxiety, feeling of doom, apathy, asphyxia, becoming easily tired, bleeding or spotting from the vagina between periods, bleeding that lasts for more days than normal, bleeding that lasts for more than 7 days, bloating, abdominal gas, blood in the stool, blood in the urine, blood pressure changes, blue lips, blue fingernails, bluish skin, blurred vision, bone pain, bone tenderness, bounding pulse, brain damage from low oxygen level, break the law repeatedly, breathing problems when exercising, bruising, bleeding under the skin, burning sensation when urinating, burns in skin, burns of the food pipe, chest discomfort, chest pain, clammy skin, collapse of heart beat, coma, confusion, constipation, convulsions, seizures, cough, coughing up blood, crossed eyes, decreased urine output, dehydration, difficulty breathing, difficulty swallowing liquids, difficulty swallowing solids, disregard the safety of self, others, dry mucous membranes in the mouth, empyema, excessive sweating, excessive thirst, eye changes in pupil size, eye pain, eye strain, eyes move quickly from side to side, failure to gain weight, fainting, drowsiness, fast heartbeat, irregular heartbeat, fatigue, feeling tired, feeling of drunkenness, fever with chills, sweating, flushed skin, hallucinations, have problems with substance abuse, having an unusual temper or agitation, headache, headache while reading, heavier bleeding, hemorrhagic pulmonary edema, holes in the skin, holes in the tissues underneath, hot flashes, incoordination, increased need to urinate, increased risk of fracture due to decreased bone density, irritation in skin, joint pain, joint swelling, kidney failure, lack of coordination, leakage of liquid, episodes of watery diarrhea, leg cramps, lie, liver failure, loss of appetite, loss of vision, low blood pressure, malaise, general discomfortness, methemoglobinemia, very dark blood from abnormal red blood cells, mood swings, muscle weakness, nausea, vomiting, nosebleeds, not show guilt or remorse, numbness, tingling of hands, tingling of feet, often be angry or arrogant, pain in the abdomen, pale skin, palpitations, periods that occur less than 28 days apart, periods that occur more than 35 days apart, person may have a fruity odor, pleural effusion, pneumothorax, poor feeding, rapid heart rate, rapid respiratory rate, rectal bleeding, recurrent infections, red eyes, reduced pulse, respiratory distress, respiratory failure, restlessness, severe pain in the throat, severe pain or burning in the nose, shallow breathing, shock, shortness of breath, skin sores, lesions that are red, swollen, skin ulcers, slow, labored breathing, slowdown or stoppage of the bowels, slurred speech, difficulty swallowing, small, somnolence, spasms of the stomach, spasms of the intestines, stopped breathing, respiratory arrest, straining when trying to pass stools, stroke symptoms, stupor, lack of alertness, sudden groin pain, sudden thigh pain, sweet taste in mouth, swelling in any area of the body, swelling of abdomen, swelling of feet, swelling of legs, tenderness of the vagina, dryness of the vagina, throat swelling, time between periods changes each month, too much acid in the blood, too little acid in the blood, transient ischemic attacks, unconsciousness, uneven, unintentional weight loss, unsteady walk, urination difficulty, very small pupils, visual impairment, blindness, vomiting blood, waking up short of breath some time after falling asleep, weakness of an arm, weakness of a leg, chest pain, muscle_wasting, fluttering pulse, ripping chest pain, patches_in_throat, pounding, racing, rapid, semi-formed stools, sharp, stabbing, tearing, weakness, which leads to damage in all of the body organs, which worsens when you breathe in deeply, pleurisy"
2,Abdominal Aortic Aneurysm,"constant pain in the belly area, back pain, pulse near the bellybutton"
3,Acanthosis Nigricans,"itchy, odor, skin tags"
4,Achalasia,"inability to swallow (dysphagia), regurgitating food or saliva, heartburn, belching, chest pain, coughing, pneumonia, weight loss, vomiting"
5,Achilles Tendinitis,"tenderness, stiffness, ache, pain"
6,Achilles Tendon Rupture,"swelling near the heel, inability to bend the foot downward, inability to push off the injured leg when walking, inability to stand on the toes on the injured leg, popping or snapping sound, feeling of having been kicked in the calf, pain"
7,Acne,"abdominal cramps, anemia, anxiety, bleeding gums, swelling, bloating or abdominal gas, blood clots, blood in the stool, blood in the urine, blurred vision, breasts that feel full, bright red or reddish-purple gums, bulky stools, bumps feel like very rough sandpaper, changes in mental status, chest pain, chills, clay-colored stools, clumsy speech pattern (dysarthria), coma (lack of responsiveness), confusion, convulsions (seizures), cough, cystic acne, decreased alertness, decreased coordination of movements (ataxia), ataxic gait (cerebellar ataxia), decreased urine output, difficulty breathing, difficulty swallowing, choking easily, difficulty swallowing liquids, solids, ear pain, easy bruising, bleeding, episodes of confusion, extremely itchy bumps or blisters, failure to thrive, fainting/drowsiness, fast or irregular heartbeat, fatigue(feeling tired), fever, sweating, flat feet, foamy appearance of urine, headache, hearing loss, hearing problems, heavy menstrual periods, high blood pressure, high risk of hearing loss due to infections, inability to pass urine, irritability, itching of the ear or ear canal, joint pain, limited ability to tolerate exercise, malaise(general discomfortness, muscle aches in the lower back, muscle cramps, muscle pain, muscle stiffness, muscle weakness, nausea, vomiting, neck swelling, nosebleeds, drainage from the ear, pain in the abdomen, pale skin, palpitations, poor feeding, problem concentrating, purpura, rash, rashes, reddish or purplish color in a circle around spider bite, redness of the neck, restlessness, rise in body temperature, shortness of breath, skin sores (lesions), sleepiness, small penis size, stiffness in the neck, stool abnormalities, stupor (lack of alertness), swollen lymph nodes in the neck, swollen lymph nodes near the infection, testicles that have not come down (undescended), tongue swelling or protrusion of the tongue out of the mouth, trouble feeding, ulcers in the mouth, throat, unintentional weight loss, unusual sleepiness or tiredness, visual impairment or blindness, vomiting, vomiting blood, weakness of an arm or leg, weakness of the face or facial asymmetry, weakness or numbness of arms, yellowing of skin, whites of the eyes (jaundice), abnormally foul-smelling stools, breast swelling, dark urine, diarrhea, drooling, fever, frothy stools, general swelling, ill feeling or uneasiness, impotence, fatty stools, jerky gait, muscle rigidity, neck pain, gagging, painful lumps under the skin (nodules), pus-filled lumps under the skin (cystic lesions), pus_filled_pimples, scurrying, shrinking of the testicles, skin_rash, slow response or thinking, small pinpoint red marks on the skin (petechiae), tarry stools, tender bumps (papules), pimples (pustules), tooth pain, unable to focus, unsteadiness, weakness, which are papules with pus at their tips, pleurisy"
8,Acoustic Neuroma,"hearing loss, ringing in your ear, trouble with your balance, unsteadiness, loss of balance, dizziness, vertigo, facial numbness, weakness, loss of muscle movement"
9,Acromegaly,"enlarged hands, feet, enlarged nose, enlarged facial features, shoe size has progressively increased, changes in face's shape, wider spacing between teeth, husky voice, severe snoring, vision problems, headaches, coarse, oily skin, protruding lower jaw, brow bone, thickened lips, thickened skin, excessive sweating, body odor, skin tags, fatigue, joint or muscle weakness, pain, limited joint mobility, deepened voice, menstrual cycle irregularities, erectile dysfunction, loss of interest in sex"
