,prognosis,symptoms,diagnosis
0,Fungal Infection,"itching,skin_rash,nodal_skin_eruptions,dischromic _patches",
1,Fungal Infection,"skin_rash,nodal_skin_eruptions,dischromic _patches",
2,Fungal Infection,"itching,nodal_skin_eruptions,dischromic _patches",
3,Fungal Infection,"itching,skin_rash,dischromic _patches",
4,Fungal Infection,"itching,skin_rash,nodal_skin_eruptions",
10,Allergy,"continuous_sneezing,shivering,chills,watering_from_eyes",
11,Allergy,"shivering,chills,watering_from_eyes",
12,Allergy,"continuous_sneezing,chills,watering_from_eyes",
13,Allergy,"continuous_sneezing,shivering,watering_from_eyes",
14,Allergy,"continuous_sneezing,shivering,chills",
20,GERD,"stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain",
21,GERD,"stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain",
22,GERD,"stomach_pain,acidity,vomiting,cough,chest_pain",
23,GERD,"stomach_pain,acidity,ulcers_on_tongue,cough,chest_pain",
24,GERD,"stomach_pain,acidity,ulcers_on_tongue,vomiting,chest_pain",
25,GERD,"stomach_pain,acidity,ulcers_on_tongue,vomiting,cough",
26,GERD,"acidity,ulcers_on_tongue,vomiting,cough,chest_pain",
30,Chronic Cholestasis,"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes",
31,Chronic Cholestasis,"vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes",
32,Chronic Cholestasis,"itching,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes",
33,Chronic Cholestasis,"itching,vomiting,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes",
34,Chronic Cholestasis,"itching,vomiting,yellowish_skin,loss_of_appetite,abdominal_pain,yellowing_of_eyes",
35,Chronic Cholestasis,"itching,vomiting,yellowish_skin,nausea,abdominal_pain,yellowing_of_eyes",
36,Chronic Cholestasis,"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes",
37,Chronic Cholestasis,"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain",
